BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
Ar                                                              
LXCat-June2013.txt
How to reference in publications:
1) Yamabe, Buckman, and Phelps, Phys. Rev. 27, 1345 (1983). Revised Oct 1997
2) PHELPS database,http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013.
 
 
 
 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. D*N (1/m/s)                              
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A18         A20         A21         A22         A23         A27         A28         A29    
          76   304.7       8.764      0.6897E+24  0.6258E+25  0.1031E+25  0.5787E+25  0.1884E-12  0.2550E-12  0.1372E-14  0.6530E-20  0.6404E-13  0.5857E-16  0.5196E-13  0.1203E-13   91.36       12.00       2.000    
          77   308.7       8.795      0.6885E+24  0.6253E+25  0.1030E+25  0.5797E+25  0.1888E-12  0.2555E-12  0.1412E-14  0.6642E-20  0.6561E-13  0.5886E-16  0.5313E-13  0.1242E-13   95.65       12.00       2.000    
          78   312.7       8.827      0.6874E+24  0.6248E+25  0.1030E+25  0.5809E+25  0.1892E-12  0.2559E-12  0.1452E-14  0.6754E-20  0.6720E-13  0.5917E-16  0.5433E-13  0.1282E-13   96.43       12.00       2.000    
          79   316.6       8.859      0.6864E+24  0.6243E+25  0.1029E+25  0.5821E+25  0.1896E-12  0.2562E-12  0.1492E-14  0.6867E-20  0.6882E-13  0.5947E-16  0.5554E-13  0.1322E-13   97.21       12.00       2.000    
          80   320.6       8.891      0.6854E+24  0.6239E+25  0.1029E+25  0.5833E+25  0.1900E-12  0.2566E-12  0.1533E-14  0.6979E-20  0.7045E-13  0.5977E-16  0.5675E-13  0.1364E-13   97.99       12.00       2.000    
          81   324.6       8.923      0.6844E+24  0.6235E+25  0.1028E+25  0.5846E+25  0.1904E-12  0.2570E-12  0.1575E-14  0.7091E-20  0.7210E-13  0.6008E-16  0.5798E-13  0.1406E-13   98.77       12.00       2.000    
          82   328.5       8.954      0.6834E+24  0.6230E+25  0.1028E+25  0.5858E+25  0.1908E-12  0.2574E-12  0.1617E-14  0.7204E-20  0.7376E-13  0.6037E-16  0.5922E-13  0.1449E-13   99.55       12.00       2.000    
          83   332.5       8.986      0.6822E+24  0.6225E+25  0.1027E+25  0.5869E+25  0.1912E-12  0.2578E-12  0.1660E-14  0.7316E-20  0.7543E-13  0.6067E-16  0.6046E-13  0.1492E-13   100.3       12.00       2.000    
          84   336.5       9.017      0.6811E+24  0.6220E+25  0.1026E+25  0.5881E+25  0.1916E-12  0.2582E-12  0.1702E-14  0.7428E-20  0.7712E-13  0.6097E-16  0.6171E-13  0.1536E-13   101.1       12.00       2.000    
          85   340.5       9.049      0.6800E+24  0.6215E+25  0.1025E+25  0.5892E+25  0.1920E-12  0.2586E-12  0.1746E-14  0.7540E-20  0.7882E-13  0.6126E-16  0.6296E-13  0.1580E-13   101.9       12.00       2.000    
          86   344.4       9.081      0.6791E+24  0.6211E+25  0.1025E+25  0.5905E+25  0.1924E-12  0.2590E-12  0.1790E-14  0.7652E-20  0.8056E-13  0.6156E-16  0.6424E-13  0.1626E-13   102.7       12.00       2.000    
          87   348.4       9.113      0.6782E+24  0.6208E+25  0.1024E+25  0.5918E+25  0.1927E-12  0.2593E-12  0.1835E-14  0.7765E-20  0.8232E-13  0.6186E-16  0.6554E-13  0.1672E-13   103.5       12.00       2.000    
          88   352.4       9.145      0.6773E+24  0.6203E+25  0.1024E+25  0.5932E+25  0.1931E-12  0.2597E-12  0.1880E-14  0.7877E-20  0.8410E-13  0.6217E-16  0.6684E-13  0.1720E-13   121.6       17.00       3.000    
          89   356.3       9.177      0.6764E+24  0.6199E+25  0.1024E+25  0.5946E+25  0.1935E-12  0.2600E-12  0.1926E-14  0.7989E-20  0.8589E-13  0.6247E-16  0.6815E-13  0.1768E-13   122.5       17.00       3.000    
          90   360.3       9.209      0.6755E+24  0.6196E+25  0.1023E+25  0.5959E+25  0.1939E-12  0.2604E-12  0.1972E-14  0.8101E-20  0.8769E-13  0.6276E-16  0.6947E-13  0.1816E-13   123.4       17.00       3.000    
          91   364.3       9.241      0.6745E+24  0.6193E+25  0.1022E+25  0.5972E+25  0.1942E-12  0.2608E-12  0.2018E-14  0.8213E-20  0.8950E-13  0.6306E-16  0.7079E-13  0.1865E-13   124.3       17.00       3.000    
          92   368.2       9.273      0.6735E+24  0.6190E+25  0.1022E+25  0.5985E+25  0.1946E-12  0.2611E-12  0.2065E-14  0.8325E-20  0.9133E-13  0.6336E-16  0.7212E-13  0.1915E-13   125.2       17.00       3.000    
          93   372.2       9.305      0.6725E+24  0.6187E+25  0.1021E+25  0.5998E+25  0.1950E-12  0.2615E-12  0.2112E-14  0.8437E-20  0.9318E-13  0.6365E-16  0.7346E-13  0.1966E-13   126.1       18.00       3.000    
          94   376.2       9.336      0.6716E+24  0.6183E+25  0.1021E+25  0.6011E+25  0.1953E-12  0.2619E-12  0.2160E-14  0.8549E-20  0.9504E-13  0.6394E-16  0.7481E-13  0.2017E-13   127.1       18.00       3.000    
          95   380.2       9.368      0.6707E+24  0.6181E+25  0.1020E+25  0.6025E+25  0.1957E-12  0.2622E-12  0.2208E-14  0.8661E-20  0.9692E-13  0.6424E-16  0.7617E-13  0.2069E-13   128.0       18.00       3.000    
          96   384.1       9.401      0.6700E+24  0.6178E+25  0.1020E+25  0.6039E+25  0.1960E-12  0.2625E-12  0.2258E-14  0.8773E-20  0.9886E-13  0.6454E-16  0.7757E-13  0.2123E-13   115.1       13.00       2.000    
          97   388.1       9.433      0.6692E+24  0.6175E+25  0.1019E+25  0.6054E+25  0.1964E-12  0.2628E-12  0.2307E-14  0.8885E-20  0.1008E-12  0.6483E-16  0.7896E-13  0.2177E-13   115.9       13.00       2.000    
